,Type,main_muscle,secondary_muscle,equipment,mechanics,level,sport,force
,OlympicWeightlifting,Quadriceps, Biceps Glutes Hamstrings LowerBack Shoulders Traps Triceps,Barbell,Compound,Intermediate,No,Pull
,OlympicWeightlifting,Hamstrings, Forearms Glutes Hamstrings LowerBack Quadriceps Traps,Barbell,Compound,Intermediate,No,Pull
,Strength,Hamstrings, Calves Glutes LowerBack Quadriceps Traps,Barbell,Compound,Intermediate,No,Pull
,Strength,Triceps,0,Bands,Isolation,Beginner,No,Push
,Powerlifting,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Intermediate,No,Push
,Strength,Abdominals, Glutes Shoulders,Dumbbell,Compound,Beginner,No,Pull
,Strength,Biceps,0,E-ZCurlBar,Isolation,Beginner,No,Pull
,OlympicWeightlifting,Quadriceps, Calves Forearms Glutes Hamstrings LowerBack Shoulders Traps,Barbell,Compound,Intermediate,No,Pull
,Plyometrics,Quadriceps, Calves Glutes Hamstrings,BodyOnly,Compound,Beginner,No,Push
,Strength,Quadriceps, Glutes Hamstrings,Dumbbell,Compound,Beginner,No,Push
,Strength,Quadriceps, Calves Glutes Hamstrings Shoulders Triceps,Barbell,Compound,Expert,No,Push
,Powerlifting,Quadriceps, Adductors Calves Glutes Hamstrings LowerBack,Barbell,Compound,Intermediate,No,Push
,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Bands,Compound,Beginner,No,Push
,Strength,Shoulders, Triceps,Dumbbell,Compound,Beginner,No,Push
,Strength,Shoulders, Triceps,Barbell,Compound,Intermediate,No,Push
,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
,Stretching,Biceps, Chest Shoulders,Other,Isolation,Beginner,No,Static
,Strength,Chest, Shoulders Triceps,Cable,Compound,Beginner,No,Push
,Strength,Abdominals, Shoulders,Cable,Compound,Beginner,No,Pull
,Strength,Biceps, Forearms,Dumbbell,Isolation,Beginner,No,Pull
,Strength,Shoulders, Triceps,Dumbbell,Compound,Beginner,No,Push
,Strength,Shoulders,0,Dumbbell,Isolation,Intermediate,No,Push
,Strength,Traps, Biceps Shoulders,Dumbbell,Compound,Beginner,No,Pull
,Strength,Shoulders,0,Barbell,Isolation,Intermediate,No,Push
,Stretching,Hamstrings,0,Other,N/A,Beginner,No,Static
,Stretching,Quadriceps,0,None,Isolation,Beginner,No,Static
,Stretching,Abdominals,0,None,N/A,Beginner,No,Static
,Plyometrics,Quadriceps, Calves Glutes Hamstrings,BodyOnly,Compound,Beginner,No,Push
,Strength,Triceps, Chest Shoulders,Cable,Isolation,Intermediate,No,Push
,Strength,Forearms, Biceps,Other,Isolation,Beginner,No,Static
,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
,Strength,Triceps, Shoulders,Barbell,Isolation,Beginner,No,Push
,Strength,Shoulders, Triceps,Dumbbell,Compound,Intermediate,No,Push
,Stretching,LowerBack, Glutes,None,Isolation,Beginner,No,Static
,Stretching,Calves,0,None,Isolation,Beginner,No,Static
,Strength,Triceps,0,BodyOnly,Isolation,Beginner,No,Push
,Plyometrics,Quadriceps, Calves Glutes Hamstrings Shoulders,BodyOnly,Compound,Beginner,No,Push
,Strength,Glutes, Hamstrings Quadriceps,BodyOnly,Compound,Beginner,No,Push
,Strength,Hamstrings, Glutes LowerBack,Barbell,Compound,Intermediate,No,Pull
,Stretching,Abdominals,0,BodyOnly,Isolation,Beginner,No,Static
,Strength,Shoulders, Traps,Barbell,Isolation,Beginner,No,Push
,Strength,Lats,0,Cable,Isolation,Beginner,No,Pull
,Powerlifting,Hamstrings, Adductors Forearms Glutes LowerBack MiddleBack Quadriceps Traps,Barbell,Compound,Intermediate,Yes,Pull
,Powerlifting,Hamstrings, Abductors Adductors Forearms Glutes LowerBack MiddleBack Quadriceps Traps,Barbell,Compound,Intermediate,No,Pull
,Plyometrics,Triceps, Chest Shoulders,MedicineBall,Compound,Beginner,No,Push
,Plyometrics,Abdominals, Chest Lats Shoulders,MedicineBall,Compound,Beginner,No,Pull
,Strength,Abdominals,0,Other,Isolation,Beginner,No,Pull
,Strength,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,Other,Compound,Intermediate,No,Push
,Strongman,Quadriceps, Abdominals Biceps Calves Forearms Glutes Hamstrings LowerBack MiddleBack Shoulders Traps,Other,Compound,Beginner,Yes,Pull
,Stretching,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
,Strength,Hamstrings,0,Other,Isolation,Beginner,No,Pull
,Strength,Abdominals,0,Barbell,Isolation,Beginner,No,Pull
,Strength,Shoulders,0,Dumbbell,Isolation,Intermediate,No,Pull
,Stretching,Biceps, Chest Shoulders,BodyOnly,Isolation,Expert,No,Static
,Strength,Shoulders, Triceps,Cable,Compound,Beginner,No,Push
,Stretching,Calves, Hamstrings LowerBack,None,N/A,Beginner,No,Static
,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
,Strength,Forearms,0,Dumbbell,Isolation,Beginner,No,Pull
,Strength,Shoulders, Triceps,Dumbbell,Compound,Beginner,No,Push
,Stretching,Hamstrings, Calves,None,N/A,Beginner,No,Static
,Stretching,Glutes, Adductors,BodyOnly,N/A,Expert,No,Static
,Stretching,Hamstrings, Calves,None,N/A,Expert,No,Static
,Strength,Neck,0,Other,Isolation,Intermediate,No,Pull
,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
,Strength,Forearms,0,Dumbbell,Isolation,Intermediate,No,Pull
,Stretching,Abdominals,0,None,Isolation,Beginner,No,Static
,Strength,Forearms,0,Barbell,Isolation,Beginner,No,Pull
,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
,Strength,Shoulders, Abdominals Triceps,Dumbbell,Compound,Intermediate,No,Push
,Stretching,Shoulders, Traps,None,N/A,Beginner,No,Pull
,Stretching,Shoulders, Lats,None,N/A,Beginner,No,Pull
,Strength,Abdominals, Shoulders,BodyOnly,N/A,Beginner,No,Static
,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
,Strength,Shoulders, Traps,Dumbbell,Isolation,Beginner,No,Push
,Stretching,Adductors, Hamstrings,None,Isolation,Beginner,No,Static
,Plyometrics,Quadriceps, Calves Glutes Hamstrings,None,Compound,Beginner,No,Push
,Strength,Lats, Biceps Forearms MiddleBack Shoulders,Other,Compound,Intermediate,No,Pull
,Stretching,Lats,0,None,N/A,Beginner,No,Static
,Plyometrics,Quadriceps, Calves Hamstrings,BodyOnly,Compound,Beginner,No,Push
,Plyometrics,Quadriceps, Calves Hamstrings,Other,Compound,Beginner,No,Push
,Strength,Shoulders, Chest Triceps,Barbell,Compound,Intermediate,No,Push
,Plyometrics,Quadriceps, Calves Glutes Hamstrings,Other,N/A,Beginner,No,Push
,Plyometrics,Quadriceps, Abductors Adductors Calves Hamstrings,Other,Compound,Beginner,No,Push
,Strength,Quadriceps,0,Machine,Isolation,Beginner,No,Push
,Stretching,Quadriceps, Abductors Glutes Hamstrings,None,N/A,Beginner,No,Push
,Cardio,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,Other,N/A,Intermediate,No,N/A
,Strength,Shoulders, Calves MiddleBack Quadriceps,Other,Compound,Beginner,No,Pull
,Strongman,Quadriceps, Calves Chest Glutes Hamstrings Triceps,Other,Compound,Beginner,No,Push
,Strength,MiddleBack, Biceps Lats,Other,Compound,Beginner,No,Pull
,Strength,Shoulders, Chest,Barbell,Isolation,Beginner,No,Push
,Strength,Chest, Shoulders Triceps,Machine,Compound,Beginner,No,Push
,Strength,Calves,0,Machine,Isolation,Beginner,No,Push
,Strength,Chest, Shoulders Triceps,Machine,Compound,Beginner,No,N/A
,Strength,Abdominals,0,Machine,Isolation,Beginner,No,Pull
,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Intermediate,No,Push
,Strength,Shoulders, Triceps,Machine,Compound,Beginner,No,Push
,Strength,Calves,0,Machine,Isolation,Beginner,No,Push
,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Machine,Compound,Beginner,No,Push
,Strength,Traps, Biceps MiddleBack Shoulders,Machine,Compound,Beginner,No,Pull
,OlympicWeightlifting,Quadriceps, Biceps Glutes Hamstrings LowerBack Shoulders Traps Triceps,Barbell,Compound,Intermediate,No,Pull
,OlympicWeightlifting,Hamstrings, Forearms Glutes Hamstrings LowerBack Quadriceps Traps,Barbell,Compound,Intermediate,No,Pull
,Strength,Hamstrings, Calves Glutes LowerBack Quadriceps Traps,Barbell,Compound,Intermediate,No,Pull
,Strength,Triceps,0,Bands,Isolation,Beginner,No,Push
,Powerlifting,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Intermediate,No,Push
,Strength,Abdominals, Glutes Shoulders,Dumbbell,Compound,Beginner,No,Pull
,Strength,Biceps,0,E-ZCurlBar,Isolation,Beginner,No,Pull
,OlympicWeightlifting,Quadriceps, Calves Forearms Glutes Hamstrings LowerBack Shoulders Traps,Barbell,Compound,Intermediate,No,Pull
,Plyometrics,Quadriceps, Calves Glutes Hamstrings,BodyOnly,Compound,Beginner,No,Push
,Strength,Quadriceps, Glutes Hamstrings,Dumbbell,Compound,Beginner,No,Push
,Strength,Quadriceps, Calves Glutes Hamstrings Shoulders Triceps,Barbell,Compound,Expert,No,Push
,Powerlifting,Quadriceps, Adductors Calves Glutes Hamstrings LowerBack,Barbell,Compound,Intermediate,No,Push
,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Bands,Compound,Beginner,No,Push
,Strength,Shoulders, Triceps,Dumbbell,Compound,Beginner,No,Push
,Strength,Shoulders, Triceps,Barbell,Compound,Intermediate,No,Push
,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
,Stretching,Biceps, Chest Shoulders,Other,Isolation,Beginner,No,Static
,Strength,Chest, Shoulders Triceps,Cable,Compound,Beginner,No,Push
,Strength,Abdominals, Shoulders,Cable,Compound,Beginner,No,Pull
,Strength,Biceps, Forearms,Dumbbell,Isolation,Beginner,No,Pull
,Strength,Shoulders, Triceps,Dumbbell,Compound,Beginner,No,Push
,Strength,Shoulders,0,Dumbbell,Isolation,Intermediate,No,Push
,Strength,Traps, Biceps Shoulders,Dumbbell,Compound,Beginner,No,Pull
,Strength,Shoulders,0,Barbell,Isolation,Intermediate,No,Push
,Stretching,Hamstrings,0,Other,N/A,Beginner,No,Static
,Stretching,Quadriceps,0,None,Isolation,Beginner,No,Static
,Stretching,Abdominals,0,None,N/A,Beginner,No,Static
,Plyometrics,Quadriceps, Calves Glutes Hamstrings,BodyOnly,Compound,Beginner,No,Push
,Strength,Triceps, Chest Shoulders,Cable,Isolation,Intermediate,No,Push
,Strength,Forearms, Biceps,Other,Isolation,Beginner,No,Static
,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
,Strength,Triceps, Shoulders,Barbell,Isolation,Beginner,No,Push
,Strength,Shoulders, Triceps,Dumbbell,Compound,Intermediate,No,Push
,Stretching,LowerBack, Glutes,None,Isolation,Beginner,No,Static
,Stretching,Calves,0,None,Isolation,Beginner,No,Static
,Strength,Triceps,0,BodyOnly,Isolation,Beginner,No,Push
,Plyometrics,Quadriceps, Calves Glutes Hamstrings Shoulders,BodyOnly,Compound,Beginner,No,Push
,Strength,Glutes, Hamstrings Quadriceps,BodyOnly,Compound,Beginner,No,Push
,Strength,Hamstrings, Glutes LowerBack,Barbell,Compound,Intermediate,No,Pull
,Stretching,Abdominals,0,BodyOnly,Isolation,Beginner,No,Static
,Strength,Shoulders, Traps,Barbell,Isolation,Beginner,No,Push
,Strength,Lats,0,Cable,Isolation,Beginner,No,Pull
,Powerlifting,Hamstrings, Adductors Forearms Glutes LowerBack MiddleBack Quadriceps Traps,Barbell,Compound,Intermediate,Yes,Pull
,Powerlifting,Hamstrings, Abductors Adductors Forearms Glutes LowerBack MiddleBack Quadriceps Traps,Barbell,Compound,Intermediate,No,Pull
,Plyometrics,Triceps, Chest Shoulders,MedicineBall,Compound,Beginner,No,Push
,Plyometrics,Abdominals, Chest Lats Shoulders,MedicineBall,Compound,Beginner,No,Pull
,Strength,Abdominals,0,Other,Isolation,Beginner,No,Pull
,Strength,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,Other,Compound,Intermediate,No,Push
,Strength,MiddleBack, Biceps Lats,Barbell,Compound,Beginner,No,Pull
,Stretching,Hamstrings, Adductors Calves,None,N/A,Beginner,No,Static
,Strength,Adductors, Glutes Hamstrings,Machine,Isolation,Beginner,No,Pull
,Stretching,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
,Cardio,Quadriceps, Calves Glutes Hamstrings,None,N/A,Beginner,Outdoor,No
,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
,Stretching,Triceps, Lats,None,Isolation,Beginner,No,Static
,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
,Strength,Shoulders, Calves Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
,Strength,MiddleBack, Biceps Lats,Kettlebells,Compound,Intermediate,No,Pull
,Strength,MiddleBack, Biceps Lats,Barbell,Compound,Beginner,No,Pull
,Stretching,Hamstrings, Adductors Calves,None,N/A,Beginner,No,Static
,Strength,Adductors, Glutes Hamstrings,Machine,Isolation,Beginner,No,Pull
,Stretching,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
,Cardio,Quadriceps, Calves Glutes Hamstrings,None,N/A,Beginner,Outdoor,No
,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
,Stretching,Triceps, Lats,None,Isolation,Beginner,No,Static
,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
,Strength,Shoulders, Calves Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
,Strength,MiddleBack, Biceps Lats,Kettlebells,Compound,Intermediate,No,Pull
,Strength,Lats, Biceps MiddleBack Shoulders,Cable,Compound,Beginner,No,Pull
,Stretching,Hamstrings, LowerBack MiddleBack,None,N/A,Beginner,No,Static
,Strength,Traps, Shoulders,Cable,Compound,Intermediate,No,Pull
,Stretching,Shoulders, Chest Lats,None,N/A,Beginner,No,Static
,Strength,Lats, Biceps MiddleBack Shoulders,Cable,Compound,Beginner,No,Pull
,Stretching,Hamstrings, LowerBack MiddleBack,None,N/A,Beginner,No,Static
,Strength,Traps, Shoulders,Cable,Compound,Intermediate,No,Pull
,Stretching,Shoulders, Chest Lats,None,N/A,Beginner,No,Static
,Strength,Lats, Biceps MiddleBack Shoulders,Cable,Compound,Intermediate,No,Pull
,Plyometrics,Hamstrings, Glutes Quadriceps Shoulders,Dumbbell,Compound,Beginner,No,Pull
,Strength,Lats, Biceps MiddleBack Shoulders,Cable,Compound,Intermediate,No,Pull
,Plyometrics,Hamstrings, Glutes Quadriceps Shoulders,Dumbbell,Compound,Beginner,No,Pull
,Cardio,Quadriceps, Calves Glutes Hamstrings,Machine,N/A,Beginner,No,N/A
,Strength,Abdominals,0,ExerciseBall,Isolation,Intermediate,No,Pull
,Strength,Abdominals,0,MedicineBall,Isolation,Beginner,No,Pull
,Strength,Lats, Biceps MiddleBack,Other,Compound,Intermediate,No,Pull
,Strength,Abdominals,0,Other,Isolation,Intermediate,No,Pull
,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Barbell,Compound,Intermediate,No,Push
,Strength,Chest, Shoulders Triceps,Barbell,Compound,Intermediate,No,Push
,Strength,Chest, Shoulders Triceps,Barbell,Compound,Intermediate,No,Pull
,Strength,Lats, Biceps MiddleBack Shoulders,Cable,Compound,Intermediate,No,Pull
,Strength,Biceps,0,Barbell,Isolation,Beginner,No,Pull
,Stretching,Abductors, Glutes Hamstrings LowerBack,None,N/A,Intermediate,No,Pull
,Stretching,Forearms,0,BodyOnly,Isolation,Beginner,No,Pull
,Strength,Forearms,0,Barbell,Isolation,Beginner,No,Pull
,Cardio,Quadriceps, Calves Glutes Hamstrings,Machine,N/A,Beginner,No,N/A
,Strength,Abdominals,0,ExerciseBall,Isolation,Intermediate,No,Pull
,Strength,Abdominals,0,MedicineBall,Isolation,Beginner,No,Pull
,Strength,Lats, Biceps MiddleBack,Other,Compound,Intermediate,No,Pull
,Strength,Abdominals,0,Other,Isolation,Intermediate,No,Pull
,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Barbell,Compound,Intermediate,No,Push
,Strength,Chest, Shoulders Triceps,Barbell,Compound,Intermediate,No,Push
,Strength,Chest, Shoulders Triceps,Barbell,Compound,Intermediate,No,Pull
,Strength,Lats, Biceps MiddleBack Shoulders,Cable,Compound,Intermediate,No,Pull
,Strength,Biceps,0,Barbell,Isolation,Beginner,No,Pull
,Stretching,Abductors, Glutes Hamstrings LowerBack,None,N/A,Intermediate,No,Pull
,Stretching,Forearms,0,BodyOnly,Isolation,Beginner,No,Pull
,Strength,Forearms,0,Barbell,Isolation,Beginner,No,Pull
,Strongman,Quadriceps, Abdominals Abductors Adductors Calves Glutes Hamstrings LowerBack,Other,Compound,Intermediate,Yes,N/A
,Strongman,Quadriceps, Abdominals Abductors Adductors Calves Glutes Hamstrings LowerBack,Other,Compound,Intermediate,Yes,N/A
,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Expert,No,Push
,Strength,Biceps, Forearms,Dumbbell,Isolation,Intermediate,No,Pull
,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Expert,No,Push
,Strength,Biceps, Forearms,Dumbbell,Isolation,Intermediate,No,Pull
